DESTINO;ORIGEN;UNIDAD DE MEDIDA;CANTIDAD;FOBDOL;FOBPES
BHR;BOG;U;90;90;373426,2
BHR;BOG;U;4303;910,83;3922620,47
BHR;BOG;KG;138;1023,81;4244429,59
BHR;BOG;KG;147;1184,82;4911931,97
BHR;BOG;KG;736;6033,88;25014776,99
BHR;BOG;KG;104;891,55;3696116,66
BHR;BOG;KG;126;977,54;4052607,12
BHR;BOG;KG;50,4;579,37;2401905,79
BHR;BOG;KG;22,5;166,59;690635,49
BHR;BOG;KG;82,5;830,94;3444844,57
BHR;BOG;KG;34,8;391,54;1623215,2
BHR;BOG;U;17975;4493,75;18794345,43
BHR;BOG;U;100575;16372,25;68115599,77
BHR;BOG;KG;2040;15711,4;66694893
BRB;BOG;M3;0,83;899,45;3753998,48
BEL;BOG;KG;15;56,72;247060,97
BEL;BOG;KG;50;282;1228335,6
BEL;BOG;KG;260;1728,2;7527693,56
BEL;BOG;KG;544;1376,24;5994626,19
BEL;BOG;KG;45;126,2;549701,96
BEL;BOG;KG;75;588;2561210,4
BEL;BOG;KG;1032;5224,96;22758880,76
BEL;BOG;KG;160;648;2822558,4
BEL;BOG;KG;960;6048;25412446,08
BEL;BOG;KG;257,04;12628,06;52653958,97
BEL;BOG;KG;1006;26594,83;110889803,2
BLZ;BOG;KG;2,8;504;2102854,32
BLZ;BOG;KG;319,9;9326,26;38912234,38
BLZ;BOG;KG;477,07;7826,07;32762276,84
BMU;BOG;U;16;1255,16;5246543,69
BMU;BOG;U;115;8461,36;35368315,57
BMU;BOG;U;295;9249,92;38664480,6
BMU;BOG;U;4;259,6;1085122,8
BLR;BOG;U;19146;19714,8;82453799,48
BLR;BOG;U;180125;64168,94;279507068,9
BLR;BOG;U;5250;1004,5;4375401,1
BLR;BOG;U;127400;24958,54;108714408,5
BLR;BOG;U;14800;3460;14409723,6
BLR;BOG;U;20650;7607,5;33136748,5
BLR;BOG;U;19600;3824;16656579,2
BLR;BOG;U;28975;10493,01;45193603,93
BLR;BOG;U;1650;313,5;1350250,77
BLR;BOG;U;4800;924;3979686,48
BLR;BOG;U;1600;550,4;2370583,8
BLR;BOG;U;125675;41629,47;183606361,1
BLR;BOG;U;2400;456;2011183,44
BLR;BOG;U;124050;24642,53;108685632,1
BLR;BOG;U;1300;2;8614,04
BLR;BOG;U;14400;1569,6;6662952
BLR;BOG;U;25400;2717,8;11537061
BLR;BOG;U;240;47,04;199684,8
BLR;BOG;U;2400;396,48;1657278,47
BLR;BOG;U;20050;2365,9;9958404,32
BLR;BOG;U;100800;11188,8;47095225,63
BLR;BOG;U;60;75,6;318210,98
BLR;BOG;U;6000;1344;5657084,16
BLR;BOG;U;6975;2127,15;8891444,45
BLR;BOG;U;2500;401,4;1677843,97
BLR;BOG;U;20;30,8;129641,51
BLR;BOG;U;30;48,3;203301,46
BLR;BOG;U;144;144;592472,16
BOL;BOG;U;720;11964,56;49878814,89
BOL;BOG;KG;62,24;1755,6;7647042,48
BOL;BOG;KG;24,2;1164,8;5073635,84
BOL;BOG;KG;6,05;129,85;565600,63
BOL;BOG;U;94;10849,06;47256335,54
BOL;BOG;KG;45,45;4;17423,2
BOL;BOG;KG;2,27;2;8711,6
BOL;BOG;KG;2,28;2;8711,6
